time,new_inf_1,new_inf_2 
0,1,0
6,1,0
8,0,1
11,1,0
12,0,1
15,0,1
17,1,0
19,1,0
20,1,0
22,1,0
24,1,1
25,0,1
28,1,0
30,1,0
37,0,1
42,1,0
44,2,0
45,1,0
49,3,0
50,2,0
51,2,0
52,2,0
53,2,0
54,3,0
55,2,0
56,1,0
57,4,0
58,7,1
59,6,0
60,3,0
61,6,0
62,4,0
63,9,0
64,11,0
65,5,0
66,8,0
67,11,0
68,18,6
69,14,1
70,1,0
71,4,0
72,13,1
73,6,0
74,3,1
75,11,1
76,9,1
77,3,0
78,10,0
79,6,0
80,15,1
81,25,3
82,19,0
83,27,0
84,31,1
85,21,3
86,10,0
87,18,0
88,10,1
89,25,1
90,16,0
91,14,0
92,10,0
93,9,0
94,9,1
95,12,0
96,5,0
97,4,0
98,3,0
99,7,0
100,3,1
101,2,0
102,4,0
103,1,0
104,2,0
105,3,1
106,2,0
107,1,0
